country,HDIRank
Afghanistan,171
Albania,85
Algeria,83
Andorra,34
Angola,149
Antigua and Barbuda,58
Argentina,40
Armenia,85
Australia,2
Austria,23
Azerbaijan,78
Bahamas,55
Bahrain,45
Bangladesh,142
Barbados,57
Belarus,50
Belgium,21
Belize,101
Benin,166
Bhutan,132
Bolivia,119
Bosnia,85
Botswana,106
Brazil,75
Brunei,31
Bulgaria,59
Burkina Faso,183
Burundi,184
Cabo Verde,122
Cambodia,143
Cameroon,153
Canada,9
Central African Republic,187
Chad,185
Chile,42
China,90
Colombia,97
Comoros,159
Congo,176
Costa Rica,69
Côte d’Ivoire,172
Croatia,47
Cuba,67
Cyprus,32
Czech Republic,28
Denmark,4
Djibouti,168
Dominica,94
Dominican Republic,101
Ecuador,88
Egypt,108
El Salvador,116
Equatorial Guinea,138
Eritrea,186
Estonia,30
Ethiopia,174
Fiji,90
Finland,24
France,22
Gabon,110
Gambia,175
Georgia,76
Germany,6
Ghana,140
Greece,29
Grenada,79
Guatemala,128
Guinea,182
Guinea-Bissau,178
Guyana,124
Haiti,163
Honduras,131
Hong Kong,12
Hungary,44
Iceland,16
India,130
Indonesia,110
Iran,69
Iraq,121
Ireland,6
Israel,18
Italy,27
Jamaica,99
Japan,20
Jordan,80
Kazakhstan,56
Kenya,145
Kiribati,137
Korea,17
Kuwait,48
Kyrgyzstan,120
Lao,141
Latvia,46
Lebanon,67
Lesotho,161
Liberia,177
Libya,94
Liechtenstein,13
Lithuania,37
Luxembourg,19
Macedonia,81
Madagascar,154
Malawi,173
Malaysia,62
Maldives,104
Mali,179
Malta,37
Mauritania,156
Mauritius,63
Mexico,74
Micronesia,123
Moldova,107
Mongolia,90
Montenegro,49
Morocco,126
Mozambique,180
Myanmar,148
Namibia,126
Nepal,145
Netherlands,5
New Zealand,9
Nicaragua,125
Niger,188
Nigeria,152
Norway,1
Oman,52
Pakistan,147
Palau,60
Palestine,113
Panama,60
Papua New Guinea,158
Paraguay,112
Peru,84
Philippines,115
Poland,36
Portugal,43
Qatar,32
Romania,52
Russia,50
Rwanda,163
Saint Kitts and Nevis,77
Saint Lucia,89
Saint Vincent and the Grenadines,97
Samoa,105
Sao Tome and Principe,143
Saudi Arabia,39
Senegal,170
Serbia,66
Seychelles,64
Sierra Leone,181
Singapore,11
Slovakia,35
Slovenia,25
Solomon Islands,156
South Africa,116
South Sudan,169
Spain,26
Sri Lanka,73
Sudan,167
Suriname,103
Swaziland,150
Sweden,14
Switzerland,3
Syria,134
Tajikistan,129
Tanzania,151
Thailand,93
Timor-Leste,133
Togo,162
Tonga,100
Trinidad and Tobago,64
Tunisia,96
Turkey,72
Turkmenistan,109
Uganda,163
Ukraine,81
United Arab Emirates,41
United Kingdom,14
United States,8
Uruguay,52
Uzbekistan,114
Vanuatu,134
Venezuela,71
VietNam,116
Yemen,160
Zambia,139
Zimbabwe,155
