country,grossNationalIncomePerCapita
Afghanistan,1885
Albania,9943
Algeria,13054
Andorra,43978
Angola,6822
Antigua and Barbuda,20070
Argentina,22050
Armenia,8124
Australia,42261
Austria,43869
Azerbaijan,16428
Bahamas,21336
Bahrain,38599
Bangladesh,3191
Barbados,12488
Belarus,16676
Belgium,41187
Belize,7614
Benin,1767
Bhutan,7176
Bolivia,5760
Bosnia,9638
Botswana,16646
Brazil,15175
Brunei,72570
Bulgaria,15596
Burkina Faso,1591
Burundi,758
Cabo Verde,6094
Cambodia,2949
Cameroon,2803
Canada,42155
Central African Republic,581
Chad,2085
Chile,21290
China,12547
Colombia,12040
Comoros,1456
Congo,680
Costa Rica,13413
Côte d’Ivoire,3171
Croatia,19409
Cuba,7301
Cyprus,28633
Czech Republic,26660
Denmark,44025
Djibouti,3276
Dominica,9994
Dominican Republic,11883
Ecuador,10605
Egypt,10512
El Salvador,7349
Equatorial Guinea,21056
Eritrea,1130
Estonia,25214
Ethiopia,1428
Fiji,7493
Finland,38695
France,38056
Gabon,16367
Gambia,1507
Georgia,7164
Germany,43919
Ghana,3852
Greece,24524
Grenada,10939
Guatemala,6929
Guinea,1096
Guinea-Bissau,1362
Guyana,6522
Haiti,1669
Honduras,3938
Hong Kong,53959
Hungary,22916
Iceland,35182
India,5497
Indonesia,9788
Iran,15440
Iraq,14003
Ireland,39568
Israel,30676
Italy,33030
Jamaica,7415
Japan,36927
Jordan,11365
Kazakhstan,20867
Kenya,2762
Kiribati,2434
Korea,33890
Kuwait,83961
Kyrgyzstan,3044
Lao,4680
Latvia,22281
Lebanon,16509
Lesotho,3306
Liberia,805
Libya,14911
Liechtenstein,79851
Lithuania,24500
Luxembourg,58711
Macedonia,11780
Madagascar,1328
Malawi,747
Malaysia,22762
Maldives,12328
Mali,1583
Malta,27930
Mauritania,3560
Mauritius,17470
Mexico,16056
Micronesia,3432
Moldova,5223
Mongolia,10729
Montenegro,14558
Morocco,6850
Mozambique,1123
Myanmar,4608
Namibia,9418
Nepal,2311
Netherlands,45435
New Zealand,32689
Nicaragua,4457
Niger,908
Nigeria,5341
Norway,64992
Oman,34858
Pakistan,4866
Palau,13496
Palestine,4699
Panama,18192
Papua New Guinea,2463
Paraguay,7643
Peru,11015
Philippines,7915
Poland,23177
Portugal,25757
Qatar,123124
Romania,18108
Russia,22352
Rwanda,1458
Saint Kitts and Nevis,20805
Saint Lucia,9765
Saint Vincent and the Grenadines,9937
Samoa,5327
Sao Tome and Principe,2918
Saudi Arabia,52821
Senegal,2188
Serbia,12190
Seychelles,23300
Sierra Leone,1780
Singapore,76628
Slovakia,25845
Slovenia,27852
Solomon Islands,1540
South Africa,12122
South Sudan,2332
Spain,32045
Sri Lanka,9779
Sudan,3809
Suriname,15617
Swaziland,5542
Sweden,45636
Switzerland,56431
Syria,2728
Tajikistan,2517
Tanzania,2411
Thailand,13323
Timor-Leste,5363
Togo,1228
Tonga,5069
Trinidad and Tobago,26090
Tunisia,10404
Turkey,18677
Turkmenistan,13066
Uganda,1613
Ukraine,8178
United Arab Emirates,60868
United Kingdom,39267
United States,52947
Uruguay,19283
Uzbekistan,5567
Vanuatu,2803
Venezuela,16159
VietNam,5092
Yemen,3519
Zambia,3734
Zimbabwe,1615
