country,homicideByFirearmRate
Albania,1.76
Algeria,0.06
Angola,
Anguilla,7.14
Argentina,3.02
Armenia,0.29
Australia,0.14
Austria,0.22
Azerbaijan,0.12
Bahamas,15.37
Bahrain,0
Bangladesh,1.12
Barbados,2.99
Belarus,0.12
Belgium,0.68
Belize,21.82
Benin,
Bermuda,0
Bhutan,
Bolivia,
Bosnia and Herzegovina,0.48
Botswana,
Brazil,18.1
Brunei,0
Bulgaria,0.67
Burkina Faso,
Burundi,
Cambodia,1.44
Cameroon,
Canada,0.51
Cape Verde,
Central African Republic,
Chad,
Chile,2.16
China,
Colombia,27.09
Comoros,
Congo,
"Congo, Dem Rep",1.56
Costa Rica,4.59
C™te d«Ivoire,
Croatia,0.39
Cuba,0.24
Cyprus,0.46
Czech Republic,0.19
Denmark,0.27
Djibouti,
Dominican Republic,16.3
East Timor,
Ecuador,12.73
Egypt,0.57
El Salvador,39.9
England and Wales,0.07
Equatorial Guinea,
Eritrea,
Estonia,0.24
Ethiopia,
Fiji,
Finland,0.45
France,0.06
Gabon,
Gambia,
Georgia,0.55
Germany,0.19
Ghana,
Greece,0.26
Grenada,0
Guatemala,34.81
Guinea,
Guinea-Bissau,
Guyana,11.46
Haiti,
Honduras,68.43
Hong Kong,0
Hungary,0.07
Iceland,0
India,0.26
Indonesia,
Iran,
Iraq,
Ireland,0.48
Israel,0.09
Italy,0.71
Jamaica,39.4
Japan,0.01
Jordan,0.49
Kazakhstan,1.34
Kenya,
"Korea, North",
"Korea, South",0.03
Kosovo,
Kuwait,
Kyrgyzstan,0.54
Laos,
Latvia,0.22
Lebanon,0.76
Lesotho,
Liberia,0.43
Libya,
Liechtenstein,2.82
Lithuania,0.18
Luxembourg,0.62
Macedonia,1.21
Madagascar,
Malawi,
Malaysia,0.24
Maldives,1.63
Mali,
Malta,0
Mauritania,
Mauritius,0.1
Mexico,9.97
Moldova,0.22
Monaco,0
Mongolia,0.11
Montenegro,
Morocco,
Mozambique,
Myanmar,
Namibia,
Nepal,0.3
Netherlands,0.33
New Zealand,0.16
Nicaragua,5.92
Niger,
Nigeria,
Northern Ireland,0.28
Norway,0.05
Oman,
Pakistan,
Panama,16.18
Papua New Guinea,
Paraguay,7.35
Peru,2.63
Philippines,8.93
Poland,0.09
Portugal,0.41
Puerto Rico,18.3
Qatar,0.14
Romania,0.02
Russia,
Rwanda,
Saint Kitts and Nevis,32.44
Saint Vincent and the Grenadines,5.49
Saudi Arabia,
Scotland,
Senegal,
Serbia,0.46
Seychelles,
Sierra Leone,2.28
Singapore,0.02
Slovakia,0.18
Slovenia,0.1
Solomon Islands,0
Somalia,
South Africa,17.03
Spain,0.2
Sri Lanka,1.48
Sudan,
Suriname,
Swaziland,
Sweden,0.41
Switzerland,0.77
Syria,
Taiwan,0.56
Tajikistan,0.22
Tanzania,
Thailand,
Togo,
Trinidad and Tobago,27.31
Tunisia,
Turkey,0.77
Turkmenistan,0.1
Uganda,0.87
Ukraine,0.22
United Arab Emirates,
United States,2.97
Uruguay,2.8
Uzbekistan,
Venezuela,38.97
Vietnam,0.99
West Bank & Gaza,2.95
Yemen,
Zambia,0.35
Zimbabwe,4.78
