no,country,rate,count,region,subregion,year
1,Afghanistan,6.5,1948,Asia,Southern Asia,2012
2,Albania,5,157,Europe,Southern Europe,2012
3,Algeria,0.7,280,Africa,Northern Africa,2011
4,Andorra,1.3,1,Europe,Southern Europe,2010
5,Angola,10,2079,Africa,Middle Africa,2012
6,Anguilla (UK),7.5,1,Americas,Caribbean ,2012
7,Antigua and Barbuda,11.2,10,Americas,Caribbean ,2012
8,Argentina,5.5,2237,Americas,South America,2010
9,Armenia,1.8,54,Asia,Western Asia,2012
10,Aruba (Netherlands),3.9,4,Americas,Caribbean ,2010
11,Australia,1.1,254,Oceania,Australasia ,2012
12,Austria,0.9,77,Europe,Western Europe,2012
13,Azerbaijan,2.1,194,Asia,Western Asia,2010
14,Bahamas,29.8,111,Americas,Caribbean ,2012
15,Bahrain,0.5,7,Asia,Western Asia,2011
16,Bangladesh,2.7,4169,Asia,Southern Asia,2012
17,Barbados,7.4,21,Americas,Caribbean ,2012
18,Belarus,3.6,340,Europe,Eastern Europe,2012
19,Belgium,1.6,182,Europe,Western Europe,2012
20,Belize,44.7,145,Americas,Central America,2012
21,Benin,8.4,848,Africa,Western Africa,2012
22,Bermuda (UK),7.7,5,Americas,Northern America,2012
23,Bhutan,1.7,12,Asia,Southern Asia,2012
24,Bolivia,12.1,1270,Americas,South America,2012
25,Bosnia and Herzegovina,1.3,51,Europe,Southern Europe,2011
26,Botswana,18.4,368,Africa,Southern Africa,2012
27,Brazil,25.2,50108,Americas,South America,2012
28,British Virgin Islands (UK),8.4,2,Americas,Caribbean ,2006
29,Brunei,2,8,Asia,South-Eastern Asia,2012
30,Bulgaria,1.5,108,Europe,Eastern Europe,2013
31,Burkina Faso,8,1311,Africa,Western Africa,2012
32,Burundi,8,790,Africa,Eastern Africa,2012
33,Cambodia,6.5,964,Asia,South-Eastern Asia,2012
34,Cameroon,7.6,1654,Africa,Middle Africa,2012
35,Canada,1.4,505,Americas,Northern America,2013
36,Cape Verde,10.3,51,Africa,Western Africa,2012
37,Cayman Islands (UK),14.7,8,Americas,Caribbean ,2009
38,Central African Republic,11.8,532,Africa,Middle Africa,2012
39,Chad,7.3,907,Africa,Middle Africa,2012
40,Chile,3.1,550,Americas,South America,2012
41,China,1,13410,Asia,Eastern Asia,2010
42,Colombia,30.8,14670,Americas,South America,2012
43,Comoros,10,72,Africa,Eastern Africa,2012
44,Congo,12.5,541,Africa,Middle Africa,2012
45,Cook Islands,3.1,,Oceania,Polynesia ,2012
