country,lifeExpectancyAtBirth
Norway,81.6
Australia,82.4
Switzerland,83
Denmark,80.2
Netherlands,81.6
Germany,80.9
Ireland,80.9
United States,79.1
Canada,82
New Zealand,81.8
Singapore,83
Hong Kong,84
Liechtenstein,80
Sweden,82.2
United Kingdom,80.7
Iceland,82.6
Korea,81.9
Israel,82.4
Luxembourg,81.7
Japan,83.5
Belgium,80.8
France,82.2
Austria,81.4
Finland,80.8
Slovenia,80.4
Spain,82.6
Italy,83.1
Czech Republic,78.6
Greece,80.9
Estonia,76.8
Brunei,78.8
Cyprus,80.2
Qatar,78.2
Andorra,81.3
Slovakia,76.3
Poland,77.4
Lithuania,73.3
Malta,80.6
Saudi Arabia,74.3
Argentina,76.3
United Arab Emirates,77
Chile,81.7
Portugal,80.9
Hungary,75.2
Bahrain,76.6
Latvia,74.2
Croatia,77.3
Kuwait,74.4
Montenegro,76.2
Belarus,71.3
Russia,70.1
Oman,76.8
Romania,74.7
Uruguay,77.2
Bahamas,75.4
Kazakhstan,69.4
Barbados,75.6
Antigua and Barbuda,76.1
Bulgaria,74.2
Palau,72.7
Panama,77.6
Malaysia,74.7
Mauritius,74.4
Seychelles,73.1
Trinidad and Tobago,70.4
Serbia,74.9
Cuba,79.4
Lebanon,79.3
Costa Rica,79.4
Iran,75.4
Venezuela,74.2
Turkey,75.3
Sri Lanka,74.9
Mexico,76.8
Brazil,74.5
Georgia,74.9
Saint Kitts and Nevis,73.8
Azerbaijan,70.8
Grenada,73.4
Jordan,74
Macedonia,75.4
Ukraine,71
Algeria,74.8
Peru,74.6
Albania,77.8
Armenia,74.7
Bosnia,76.5
Ecuador,75.9
Saint Lucia,75.1
China,75.8
Fiji,70
Mongolia,69.4
Thailand,74.4
Dominica,77.8
Libya,71.6
Tunisia,74.8
Colombia,74
Saint Vincent and the Grenadines,72.9
Jamaica,75.7
Tonga,72.8
Belize,70
Dominican Republic,73.5
Suriname,71.1
Maldives,76.8
Samoa,73.4
Botswana,64.5
Moldova,71.6
Egypt,71.1
Turkmenistan,65.6
Gabon,64.4
Indonesia,68.9
Paraguay,72.9
Palestine,72.9
Uzbekistan,68.4
Philippines,68.2
El Salvador,73
South Africa,57.4
VietNam,75.8
Bolivia,68.3
Kyrgyzstan,70.6
Iraq,69.4
Cabo Verde,73.3
Micronesia,69.1
Guyana,66.4
Nicaragua,74.9
Morocco,74
Namibia,64.8
Guatemala,71.8
Tajikistan,69.4
India,68
Honduras,73.1
Bhutan,69.5
Timor-Leste,68.2
Syria,69.6
Vanuatu,71.9
Congo,62.3
Kiribati,66
Equatorial Guinea,57.6
Zambia,60.1
Ghana,61.4
Lao,66.2
Bangladesh,71.6
Cambodia,68.4
Sao Tome and Principe,66.5
Kenya,61.6
Nepal,69.6
Pakistan,66.2
Myanmar,65.9
Angola,52.3
Swaziland,49
Tanzania,65
Nigeria,52.8
Cameroon,55.5
Madagascar,65.1
Zimbabwe,57.5
Mauritania,63.1
Solomon Islands,67.9
Papua New Guinea,62.6
Comoros,63.3
Yemen,63.8
Lesotho,49.8
Togo,59.7
Haiti,62.8
Rwanda,64.2
Uganda,58.5
Benin,59.6
Sudan,63.5
Djibouti,62
South Sudan,55.7
Senegal,66.5
Afghanistan,60.4
Côte d’Ivoire,51.5
Malawi,62.8
Ethiopia,64.1
Gambia,60.2
Congo,58.7
Liberia,60.9
Guinea-Bissau,55.2
Mali,58
Mozambique,55.1
Sierra Leone,50.9
Guinea,58.8
Burkina Faso,58.7
Burundi,56.7
Chad,51.6
Eritrea,63.7
Central African Republic,50.7
Niger,61.4
