country,subregion
Afghanistan,Southern Asia
Albania,Southern Europe
Algeria,Northern Africa
Andorra,Southern Europe
Angola,Middle Africa
Anguilla (UK),Caribbean 
Antigua and Barbuda,Caribbean 
Argentina,South America
Armenia,Western Asia
Aruba (Netherlands),Caribbean 
Australia,Australasia 
Austria,Western Europe
Azerbaijan,Western Asia
Bahamas,Caribbean 
Bahrain,Western Asia
Bangladesh,Southern Asia
Barbados,Caribbean 
Belarus,Eastern Europe
Belgium,Western Europe
Belize,Central America
Benin,Western Africa
Bermuda (UK),Northern America
Bhutan,Southern Asia
Bolivia,South America
Bosnia and Herzegovina,Southern Europe
Botswana,Southern Africa
Brazil,South America
British Virgin Islands (UK),Caribbean 
Brunei,South-Eastern Asia
Bulgaria,Eastern Europe
Burkina Faso,Western Africa
Burundi,Eastern Africa
Cambodia,South-Eastern Asia
Cameroon,Middle Africa
Canada,Northern America
Cape Verde,Western Africa
Cayman Islands (UK),Caribbean 
Central African Republic,Middle Africa
Chad,Middle Africa
Chile,South America
China,Eastern Asia
Colombia,South America
Comoros,Eastern Africa
Congo,Middle Africa
Cook Islands,Polynesia 
Costa Rica,Central America
Croatia,Southern Europe
Cuba,Caribbean 
Cyprus,Western Asia
Czech Republic,Eastern Europe
Democratic Republic of the Congo,Middle Africa
Denmark,Northern Europe
Djibouti,Eastern Africa
Dominica,Caribbean 
Dominican Republic,Caribbean 
Ecuador,South America
Egypt,Northern Africa
El Salvador,Central America
Equatorial Guinea,Middle Africa
Eritrea,Eastern Africa
Estonia,Northern Europe
Ethiopia,Eastern Africa
Fiji,Melanesia 
Finland,Northern Europe
France,Western Europe
French Guiana (France),South America
French Polynesia (France),Polynesia 
Gabon,Middle Africa
Gambia,Western Africa
Georgia,Western Asia
Germany,Western Europe
Ghana,Western Africa
Greece,Southern Europe
Greenland (Denmark),Northern America
Grenada,Caribbean 
Guadeloupe (France),Caribbean 
Guam (US),Micronesia 
Guatemala,Central America
Guinea,Western Africa
Guinea-Bissau,Western Africa
Guyana,South America
Haiti,Caribbean 
Honduras,Central America
Hong Kong,Eastern Asia
Hungary,Eastern Europe
Iceland,Northern Europe
India,Southern Asia
Indonesia,South-Eastern Asia
Iran,Southern Asia
Iraq,Western Asia
Ireland,Northern Europe
Israel,Western Asia
Italy,Southern Europe
Ivory Coast,Western Africa
Jamaica,Caribbean 
Japan,Eastern Asia
Jordan,Western Asia
Kazakhstan,Central Asia
Kenya,Eastern Africa
Kiribati,Micronesia 
Kosovo,Southern Europe
Kuwait,Western Asia
Kyrgyzstan,Central Asia
Laos,South-Eastern Asia
Latvia,Northern Europe
Lebanon,Western Asia
Lesotho,Southern Africa
Liberia,Western Africa
Libya,Northern Africa
Liechtenstein,Western Europe
Lithuania,Northern Europe
Luxembourg,Western Europe
Macao,Eastern Asia
Macedonia,Southern Europe
Madagascar,Eastern Africa
Malawi,Eastern Africa
Malaysia,South-Eastern Asia
Maldives,Southern Asia
Mali,Western Africa
Malta,Southern Europe
Martinique (France),Caribbean 
Mauritania,Western Africa
Mauritius,Eastern Africa
Mayotte (France),Eastern Africa
Mexico,Central America
Micronesia,Micronesia 
Moldova,Eastern Europe
Monaco,Western Europe
Mongolia,Eastern Asia
Montenegro,Southern Europe
Montserrat (UK),Caribbean 
Morocco,Northern Africa
Mozambique,Eastern Africa
Myanmar,South-Eastern Asia
Namibia,Southern Africa
Nauru,Micronesia 
Nepal,Southern Asia
Netherlands,Western Europe
New Caledonia (France),Melanesia 
New Zealand,Australasia 
Nicaragua,Central America
Niger,Western Africa
Nigeria,Western Africa
Niue,Polynesia 
North Korea,Eastern Asia
Norway,Northern Europe
Oman,Western Asia
Pakistan,Southern Asia
Palau,Micronesia 
Palestine,Western Asia
Panama,Central America
Papua New Guinea,Melanesia 
Paraguay,South America
Peru,South America
Philippines,South-Eastern Asia
Poland,Eastern Europe
Portugal,Southern Europe
Puerto Rico (US),Caribbean 
Qatar,Western Asia
Romania,Eastern Europe
Russia,Eastern Europe
Rwanda,Eastern Africa
Réunion (France),Eastern Africa
Saint Kitts and Nevis,Caribbean 
Saint Lucia,Caribbean 
Saint Pierre and Miquelon (France),Northern America
Saint Vincent and the Grenadines,Caribbean 
Samoa,Polynesia 
San Marino,Southern Europe
Sao Tome and Principe,Middle Africa
Saudi Arabia,Western Asia
Senegal,Western Africa
Serbia,Southern Europe
Seychelles,Eastern Africa
Sierra Leone,Western Africa
Singapore,South-Eastern Asia
Slovakia,Eastern Europe
Slovenia,Southern Europe
Solomon Islands,Melanesia 
Somalia,Eastern Africa
South Africa,Southern Africa
South Korea,Eastern Asia
South Sudan,Eastern Africa
Spain,Southern Europe
Sri Lanka,Southern Asia
Sudan,Northern Africa
Suriname,South America
Swaziland,Southern Africa
Sweden,Northern Europe
Switzerland,Western Europe
Syria,Western Asia
Taiwan,Eastern Asia
Tajikistan,Central Asia
Tanzania,Eastern Africa
Thailand,South-Eastern Asia
Timor-Leste,South-Eastern Asia
Togo,Western Africa
Tonga,Polynesia 
Trinidad and Tobago,Caribbean 
Tunisia,Northern Africa
Turkey,Western Asia
Turkmenistan,Central Asia
Turks and Caicos Islands (UK),Caribbean 
Tuvalu,Polynesia 
Uganda,Eastern Africa
Ukraine,Eastern Europe
United Arab Emirates,Western Asia
United Kingdom,Northern Europe
United States,Northern America
United States Virgin Islands (US),Caribbean 
Uruguay,South America
Uzbekistan,Central Asia
Vanuatu,Melanesia 
Venezuela,South America
Vietnam,South-Eastern Asia
Yemen,Western Asia
Zambia,Eastern Africa
Zimbabwe,Eastern Africa
