"country","gunOwnershipRate","homicideRate","grossNationalIncomePerCapita","HDIRank","HDIValue","homicideByFirearmRate","lifeExpectancyAtBirth","meanYearsOfSchooling","region","subregion"
"Albania",8.6,5,9943,85,0.733,1.76,77.8,9.3,"Europe","Southern Europe"
"Algeria",7.6,0.7,13054,83,0.736,0.06,74.8,7.6,"Africa","Northern Africa"
"Angola",17.3,10,6822,149,0.532,NA,52.3,4.7,"Africa","Middle Africa"
"Argentina",10.2,5.5,22050,40,0.836,3.02,76.3,9.8,"Americas","South America"
"Armenia",12.5,1.8,8124,85,0.733,0.29,74.7,10.9,"Asia","Western Asia"
"Australia",21.7,1.1,42261,2,0.935,0.14,82.4,13,"Oceania","Australasia "
"Austria",30.4,0.9,43869,23,0.885,0.22,81.4,10.8,"Europe","Western Europe"
"Azerbaijan",3.5,2.1,16428,78,0.751,0.12,70.8,11.2,"Asia","Western Asia"
"Bahamas",5.3,29.8,21336,55,0.79,15.37,75.4,10.9,"Americas","Caribbean "
"Bahrain",24.8,0.5,38599,45,0.824,0,76.6,9.4,"Asia","Western Asia"
"Bangladesh",0.5,2.7,3191,142,0.57,1.12,71.6,5.1,"Asia","Southern Asia"
"Barbados",7.8,7.4,12488,57,0.785,2.99,75.6,10.5,"Americas","Caribbean "
"Belarus",7.3,3.6,16676,50,0.798,0.12,71.3,12,"Europe","Eastern Europe"
"Belgium",17.2,1.6,41187,21,0.89,0.68,80.8,11.3,"Europe","Western Europe"
"Belize",10,44.7,7614,101,0.715,21.82,70,10.5,"Americas","Central America"
"Benin",1.4,8.4,1767,166,0.48,NA,59.6,3.3,"Africa","Western Africa"
"Bhutan",3.5,1.7,7176,132,0.605,NA,69.5,3,"Asia","Southern Asia"
"Bolivia",2.8,12.1,5760,119,0.662,NA,68.3,8.2,"Americas","South America"
"Botswana",4.9,18.4,16646,106,0.698,NA,64.5,8.9,"Africa","Southern Africa"
"Brazil",8,25.2,15175,75,0.755,18.1,74.5,7.7,"Americas","South America"
"Brunei",1.4,2,72570,31,0.856,0,78.8,8.8,"Asia","South-Eastern Asia"
"Bulgaria",6.2,1.5,15596,59,0.782,0.67,74.2,10.6,"Europe","Eastern Europe"
"Burkina Faso",1.1,8,1591,183,0.402,NA,58.7,1.4,"Africa","Western Africa"
"Burundi",1.2,8,758,184,0.4,NA,56.7,2.7,"Africa","Eastern Africa"
"Cambodia",4.3,6.5,2949,143,0.555,1.44,68.4,4.4,"Asia","South-Eastern Asia"
"Cameroon",2.8,7.6,2803,153,0.512,NA,55.5,6,"Africa","Middle Africa"
"Canada",30.8,1.4,42155,9,0.913,0.51,82,13,"Americas","Northern America"
"Central African Republic",1,11.8,581,187,0.35,NA,50.7,4.2,"Africa","Middle Africa"
"Chad",1.1,7.3,2085,185,0.392,NA,51.6,1.9,"Africa","Middle Africa"
"Chile",10.7,3.1,21290,42,0.832,2.16,81.7,9.8,"Americas","South America"
